publication_number,title,abstract
US-4588490-A,Hollow cathode enhanced magnetron sputter device,"A plasma sputter etching/deposition system comprising an electron-emitting hollow cathode arc-source combined with a conventional plasma sputter etching/deposition system such as a magnetron. The electrons emitted are coupled into the intrinsic high energy, e.g., magnetic field and are accelerated by the plasma potential and cause a significant increase plasma density. The resultant combination allows much greater sputtering/deposition efficiency than was possible with previous devices. According to a further aspect of the invention, switched operation is possible, whereby etching may vary from isotropic to anisotropic. A side discharge hollow cathode structure is also described for enhancing certain sputtering/deposition processes, wherein electrons may be emitted from one or more openings at the side of a hollow cathode chamber to achieve more uniform electron emission in a large process chamber."
US-4590433-A,Doubled balanced differential amplifier circuit with low power consumption for FM modulation or demodulation,"A switching circuit apparatus driven by a relatively low DC power supply voltage, which includes a power supply terminal designed to receive a DC power source voltage, a pair of switching circuits comprising switching transistors (28, 30 and 32, 34) connected in parallel with each other and connected to the power supply terminal, first circuit means (10,12) connected for supplying the respective switching circuits with a switched signal, and a second circuit means (16, 18, 40, 14) connected for supplying the respective switching circuits with a pair of control signals which are opposite in phase and which are never both at a potential difference other than a prescribed potential at the same time. The switching circuit transistors (28, 30 or 32, 34) are all fully conductive prior to any transition in which two are rendered non-conductive by the control signals, thereby enable operation of the circuit with low power consumption."
US-4592020-A,Semiconductor memory device having clamp circuits,"A semiconductor memory device having clamp circuits, each of which operates reliably without being affected by the resistance of a word line. Each of the clamp circuits is connected to a corresponding word line and clamps the potential of the word line to a reference potential when it is in a non-selected condition. Each of the clamp circuits includes a flip-flop having a first terminal connected to the corresponding word line and a second terminal which receives a control signal for operating each of the clamp circuits. The control signal is applied to the second terminal when the potential of a selected word line exceeds at least the potential necessary for inverting the condition of the flip-flop."
US-7104937-B2,Foldable transportable multiple function pilates exercise method and apparatus,"A multi-function Pilates exercise apparatus featuring a foldable frame, a wheeled base, a rotatable pulley riser with a flexible pulley mount, gear changing apparatus and adjustable footbar. The frame is designed to fold into an upright position and to be rolled to a desired location. The pulley mount includes a section of flexible cable which permits the pulley to freely move relative to its mounting pole, thereby reducing binding during operation. The gear changing apparatus permits the user to adjust the carriage position with a single operation. The exercise system includes a reformer, pole apparatus, and a long/short box that also serves as a chair."
US-7112846-B2,Thin film transistors on plastic substrates with reflective coatings for radiation protection,"Fabrication of silicon thin film transistors (TFT) on low-temperature plastic substrates using a reflective coating so that inexpensive plastic substrates may be used in place of standard glass, quartz, and silicon wafer-based substrates. The TFT can be used in large area low cost electronics, such as flat panel displays and portable electronics such as video cameras, personal digital assistants, and cell phones."
US-5720571-A,Deflection slide clip,Deflection slide clip of two piece construction for use in curtain wall construction providing for horizontal support of a laterally loaded stud while it accommodates vertical slip of the primary frame.
US-5721594-A,Video differential bus receiver for audio/video interconnection,"A differential transconductance amplifier having a fixed value of differential transconductance provides a video output signal current directly proportional to the transconductance of the amplifier and to a difference between first and second differential video input signals supplies thereto. A pair of buffer amplifiers couples the video input signals to respective inputs of the differential transconductance amplifier via respective diode switches which provides Vber protection for the buffer transistors and provides bus isolation under power down conditions. An output circuit regulates the output voltage of the differential transconductance amplifier at a substantially fixed voltage and converts the output signal current to an output signal voltage. Advantageously, the receiver provides very accurate signal gain control unconditional stability, a wide common mode input voltage range, avoids the need for stand-by power and will not load the input bus under power-down conditions."
US-2016023517-A1,Reduced weight aircraft tire,"A pneumatic tire having a carcass and a belt reinforcing structure, the belt reinforcing structure comprising: a zigzag belt reinforcing structure formed of a strip of reinforcement cords, the strip of reinforcement cords being inclined at 5 to 30 degrees relative to the centerplane of the tire extending in alternation to turnaround points at each lateral edge, wherein the strip of cords is formed from two different cords made of different materials."
US-2008147049-A1,Devices and methods for catheterization,"Devices and methods are disclosed for a catheterization process, particularly useful for self-performed catheterizations. A catheter is enclosed in a sheath partially attached to the end of the catheter. This leaves an unsealed area at that end leaving the space between the catheter and the sheath in fluid communication with the outside atmosphere. This helps to relieve any pressure built up in that space during use."
US-7382098-B2,Plasma producing apparatus and doping apparatus,"An object of the present invention is to provide an apparatus for producing stable plasma. Another object of the present invention is to provide an apparatus having a long-lasting cathode electrode which is superior in field emission characteristic since the plasma density has to be raised in order to increase the throughput. The structure of the plasma producing apparatus of the present invention relates to a plasma producing apparatus with a plasma chamber surrounded by walls to make material gas into plasma, characterized in the plasma chamber has a cathode electrode, an anode electrode, means for introducing the material gas, and exhaust means, and that a carbon nano tube is formed on a surface of the cathode electrode and the anode electrode is formed on the surface of the cathode electrode."
US-7387175-B2,Window reaming and coring apparatus and method of use,"Window reaming and coring apparatus has a reamer connected in the middle of the tool by mechanical joints which permit the reamer to be displaced substantially parallel to the rest, of the tool body. The apparatus is lowered adjacent a pre-determined zone of interest and mills a parallel window along the edge of an existing wellbore into which the reamer is displaced. Once the reamer is fully displaced laterally into the window, the reamer and coring head can be rotated parallel to the wellbore, in the zone of interest for obtaining and retrieving a crescent-shaped core which has a significant cross section and length, enabling improved analysis of the wellbore lithography."
US-4187217-A,"Bradykinin cyclic analog-cyclo-[(N.sup.ε -1-L-lysine, 6-glycine)-bradykinin]","Cyclic analog of bradykinin having the formula ##STR1## where Lys-L-lysine residue, Pro-L-proline residue, Gly-glycine residue, Phe-L-phenylalanine residue, Arg-L-arginine residue. The present compound can create prolonged depressor effect in experiments in vivo, as well as increase vascular permeability in experiment in situ less than bradykinin. In experiments in vitro this compound displays no myotropic effect., Cyclic analog of bradykinin having the formula    &lt;IMAGE&gt;  (Arg) where Lys-L-lysine residue, Pro-L-proline residue, Gly-glycine residue, Phe-L-phenylalanine residue, Arg-L-arginine residue. The present compound can create prolonged depressor effect in experiments in vivo, as well as increase vascular permeability in experiment in situ less than bradykinin. In experiments in vitro this compound displays no myotropic effect."
US-4155324-A,Device to indicate symbols on control levers,"A two and four wheel drive indicator is provided in a push-pull handle that is used for conditioning a vehicle for either two or four wheel drive operation. The indicator is actuated by a slidable rod within the handle which comes into contact with a base or supporting surface for the handle as the handle is pushed toward the base or supporting surface. A symbol, representing the four wheel drive condition, appears on a cover plate on the handle whenever the handle is actuated to condition the vehicle for a four wheel drive operation."
US-4259077-A,Wireless logic trainer,"A wireless training device is disclosed which uses a digital computer to simulate or imitate electronic circuits, especially logic or computer circuits. Basically, a control program is selected by insertion of an edge encoded card. This card has on it a drawing of the circuit being taught as well as addressing information for use by the digital computer. Test points on the training card are holes, through which the test probe can contact the metal fingers of a test plane. The information derived from the test plane, as well as inputs from the various test switches, are operated on by the computer and control program to give output indications, usually in the form of lights. By putting the control programs in permanent memory (i.e. ROM or PROM) the student will be required to perform few preparatory steps. The unit is expandable by simply adding more programing to the memory chips and by drawing suitable training cards."
US-5936168-A,Dual injector cylinder automatic insertion device for use with high pressure pipelines,"The present disclosure sets forths a pipeline insertion mechanism. It cooperates with the pipeline having a tee, blocking valve and stuffing box. An elongate insertion rod is extended from the exterior through the stuffing box, blocking valve and tee so that a measuring instrument is positioned at a centerline location in the pipeline. This rod connects to a transverse yoke having two ends which connects at the remote ends to piston rods. Two piston rods cooperative with two hydraulically cylinders are positioned adjacent to the blocking valve and stuffing block to reduce height of the equipment. The insertion rod is moved axially to insert or retract the measuring instrument."
US-5938393-A,Container vehicle with loading means,"The invention relates to a vehicle with a collecting container which can be picked up and set down and is intended for pourable solids, in particular waste material. The container is arranged behind the driver&#39;s cab and has, at least in the area where the container end faces the driver&#39;s cab, a filling opening, open at the top, and a pressure plate extending inside. The vehicle also has a swivel arm arrangement which is pivotable across the driver&#39;s cab, picks up and empties containers and is articulated to a support frame arranged behind the driver&#39;s cab and connected securely to the vehicle chassis. The actuating means for the swivel arm arrangement and at least one thrust cylinder for displacing the pressure plate and locking means for fixing the collecting container to the support frame are arranged on the support frame."
US-2016201893-A1,Illuminated seal base for mobile living quarters,An illuminated slide-out seal assembly is provided where the seal base is attached to an existing aperture. The seal base has an illuminating portion located between two rails and resides under a removable translucent bulb seal. The bulb seal has a first diffusing section and a second diffusing section. The first diffusing section is stiffer and resists movement. The second diffusing section is more flexible and can compress when outside force is applied.
US-6540657-B2,Apparatus and method for internally inducing a magnetic field in an aneurysm to embolize aneurysm with magnetically-controllable substance,"The present invention involves a magnetic detachable embolization apparatus and method for embolizing an aneurysm of a blood vessel. The apparatus includes an element adapted to be detachably connected to a distal portion of a catheter for insertion within an aneurysm of a blood vessel, the element being shaped to be retained within the aneurysm, and one or more magnets carried by the element to internally induce a magnetic field from within the aneurysm to control a magnetic field controllable embolic to embolize the aneurysm. The method includes providing a magnetic-field controllable embolic within or adjacent to an aneurysm in a blood vessel, and internally inducing a magnetic field from within the aneurysm to control the magnetic-field controllable embolic to embolize the aneurysm."
US-6542254-B1,"Facsimile device, facsimile transmission method and program recording medium","When a time scheduled for connection to the Internet service provider and a time for facsimile communication overlap, electronic mail functions are delayed and facsimile communication is given priority. If a facsimile communication request is made while a line connection to the Internet service provider is already established, electronic mail reception is halted, and facsimile communication takes place. A facsimile device provided with facsimile communication capability and the ability to send and receive image data in the form of electronic mail via an Internet service provider."
US-6548071-B1,Lyophilizate of lipid complex of water insoluble camptothecins,"A pharmaceutical composition comprising a lyophilizate of non-liposomal complex of a water insoluble camptothecin and a phospholipid, said lyophilizate additionally containing a pharmaceutically acceptable lyophilization excipient, wherein the weight ratio of said camptothecin to said phospholipid in said composition is about 1:80 to 1:5., A pharmaceutical composition comprising a lyophilizate of non-liposomal complex of a water insoluble camptothecin and a phospholipid, said lyophilizate additionally containing a pharmaceutically acceptable lyophilization excipient, wherein the weight ratio of said camptothecin to said phospholipid in said composition is about 1:80 to 1:5."
US-6549062-B1,Method and apparatus for improving the tolerance of integrated resistors,"A deice maximizes the allowable granularity of adjustment of a bus driver line characteristics by compensating for temperature variations by selecting components that have an opposite and approximately equal thermal coefficient. In the first aspect, component parts may be made smaller because their tolerances need not be made so precise. In the second aspect, duplicating the circuitry with matching characteristics allows one circuit to be operational while the other circuit is tested or dormant. Switching between the two circuits is performed seamlessly with no interruption of device operation."
US-6555723-B2,Continuous manufacturing process for alpha-olefins,"A manufacturing process for α-olefins using certain iron containing ethylene oligomerization catalysts together with alkylaluminum cocatalysts, in which using a low ratio of Al:Fe in the process results in a lowered formation of undesired polyethylene waxes and polymer. This results in less fouling of the process lines and vessels in the manufacturing plant., A manufacturing process for alpha-olefins using certain iron containing ethylene oligomerization catalysts together with alkylaluminum cocatalysts, in which using a low ratio of Al:Fe in the process results in a lowered formation of undesired polyethylene waxes and polymer. This results in less fouling of the process lines and vessels in the manufacturing plant."
US-2017105702-A1,Ultrasonic probe,"An ultrasonic probe having: an ultrasonic transmission and reception unit provided inside housing; and a drive device provided therein that encases a main sound transmission medium and swings the ultrasonic transmission and reception unit. The ultrasonic probe is characterized by: the drive device being a drive transmission mechanism that converts the rotation of a drive motor to swinging of the ultrasonic transmission and reception unit; all or part of the drive transmission mechanism comprising a gear mechanism; and preventing backlash in a meshing section of at least a pair of gears in the gear mechanism, by elastically impelling and pressing one pair of gears on to the other pair of gears by using compression springs."
US-9620396-B1,Laser anneal of buried metallic interconnects including through silicon vias,Disclosed is a process of annealing through silicon vias (TSVs) or other deeply buried metallic interconnects using a back side laser annealing process. The process provides several advantages including sufficient grain growth and strain relief of the metal such that subsequent thermal processes do not cause further grain growth; shorter anneal times thereby reducing cycle time of 3D device fabrication; and reduced pattern sensitivity of laser absorption.
US-9621967-B2,Methods and systems for passive optical switching,"Optical networking has become ubiquitous in providing low cost, high speed communications networks supporting our communication needs from FTTH through long haul to undersea. The large number of users and high speeds provided to each user fiber mean that information retrieval and routing functionality within the data centers hosting this information can become the bottleneck both in terms of speed and latency. According to embodiments of the invention the inventors present architectures based upon all-optical passive optical networks that support a distributive approach to latency reduction as well as protocols relating to their deployment. Beneficially, such POCXN concepts exploit optical components already supported by high volume manufacturing techniques as well as CWDM/DWDM techniques for throughput increase."
US-9631038-B2,Polymerization initiating system and method to produce highly reactive olefin functional polymers,"A method for producing highly reactive olefin polymers wherein at least 50 mol. % of the polymer chains have terminal double bonds, and a novel polymerization initiating system for accomplishing same."
US-6019439-A,Method of operating an anti-locking automotive vehicle-brake system,"In a method of operating an anti-lock automotive vehicle brake system for driving stability control and/or traction slip control which includes a brake force booster operable irrespective of the driver&#39;s wish, the brake force booster, at the commencement of control, will achieve its maximum attainable boosting force irrespective of the driver&#39;s wish, and the desired wheel braking pressures are adjusted by way of the ABS hydraulic unit, and at the end of the control, the independent actuation of the brake force booster will not be deactivated until the brake force booster has been reset to its initial position by returning the pressure fluid discharged from the wheel brakes into the low-pressure accumulators."
US-6021924-A,Manually controlled metering pump for bottles with deformable sheaths,"A manually operated metering pump for a container with a flexible body, comprising a metering chamber (20) between a lower valve (21) and an upper valve (48), a spring-biased push button (34), and a nozzle communicating with the metering chamber (20) via a central channel. The lower valve (21) is flexible and frusto-conical, and the upper valve (48) is supported on a disc (47) forming the base of a hollow rod (43) secured to the push button (34), and engages the bottom of a hollow plunger (32) operated via a push button (34)."
US-6022082-A,Traction device for vehicle wheels,A traction device for vehicle wheels has an expandable and contractible member mounted next to the vehicle wheel. The traction device has a tire with extending studs that is expandable by air pressure to increase the diameter of the tire. The tire is contracted by releasing the pressurized air within. The tire is expanded to a diameter just larger than the vehicle wheels so that the studs will engage the roadway to provide traction. The tire may be inflated manually from a pressurized air source and deflated manually. A pressure source and control valves may be provided to control the inflation and deflation of the tire remotely.
US-4529831-A,Nontracking parabolic collector apparatus,"A mirror collector having a generally parabolic surface terminating near the vertex in a circular or cylindrical curve, a collector tube composed of a clear glass outer tube for energy admission and for passing an inner fluid, the collector being generally elliptical in nature constructed of copper with a selective absorption coating for receiving heat and positioned so that the mirror concentrates substantially all incoming energy upon the central collector tube for providing a concentration factor of about four (4)., A mirror collector having a generally parabolic surface terminating near the vertex in a circular or cylindrical curve, a collector tube composed of a clear glass outer tube for energy admission and for passing an inner fluid, the collector being generally elliptical in nature constructed of copper with a selective absorption coating for receiving heat and positioned so that the mirror concentrates substantially all incoming energy upon the central collector tube for providing a concentration factor of about four (4)."
US-6259977-B1,Aircraft flight data analysis system and method,"An aircraft data analysis computer program and method that allows user-defined measurements to be made on a set of flight data obtained from a variety of sources. Post-flight measurement and trending analysis software provides a user configurable measurement system using user-defined measurement definitions for analyzing flight data from a variety of sources. Measurements that require nonsequential analysis of the sequential flight data file can be performed. Data from a variety of aircraft types, from a variety of flight data recorders and from other sources of flight data can be analyzed by translating the data into fleet-independent terms, so that the performance of different fleets or different aircraft types can be compared. The user can perform trending, characterization and statistical analyses on the flight data information. The results of the user-defined measurements are stored in a flight analysis database and may be viewed by the user in a variety of display formats."
US-4699471-A,Electrochromic display device,"An electrochromic light transmission control device in which the electrochromic film is operated under control not to reach the color saturation condition, thereby preventing the occurrence of separation of the film and thus ensuring a long-term service life."
US-4700870-A,Movable fluid dispenser with air bubble detectors for controlling dispenser movement,"An apparatus for dispending a fluid free of included air bubbles, such as for example, an adhesive bead, includes sensing devices for detecting the presence of an included air bubble in the conduit leading from a source of the fluid to a discharge of a movable fluid dispenser. The sensing devices are connected to a motor which drives an arm on which the fluid dispenser is mounted. A first sensing device slows movement of the dispenser upon sensing an air bubble in the fluid and a second sensing device stops movement of the dispenser upon sensing an air bubble in the fluid. The movement of the dispenser is restarted after a predetermined time period sufficient to allow the air bubble to pass out of the dispenser discharge. The sensing devices advantageously use a light beam, such as infra-red light or laser, to detect the presence of the included air bubble."
US-4701473-A,Catalyst for producing polyurethane foams coated with skin,"Amine catalysts useful for producing polyurethane foams coated with skin by reaction of an organic polyisocyanate with a polyol. The catalysts comprise 4-methyl-1-(2-hydroxyalkyl)-piperazine, and emit no bad odor, give excellent moldability and are free from deterioration of skin and discoloration of covering materials., Amine catalysts useful for producing polyurethane foams coated with skin by reaction of an organic polyisocyanate with a polyol. The catalysts comprise 4-methyl-1-(2-hydroxyalkyl)-piperazine, and emit no bad odor, give excellent moldability and are free from deterioration of skin and discoloration of covering materials."
US-2010168591-A1,Drowsiness detection method and apparatus thereof,"The apparatus comprises an ultra-wide band module or an electrocardiography module for gathering heartbeat signals of a human being. By sequentially obtaining average heart-rate values of a human being, and according to the features of the heart-rate values over a period of time, the method is utilized to determine whether the human being is going to a state of drowsiness."
US-2010174915-A1,Turnover controller,"This disclosure solves the problem of data security of transactions and turnovers in all distribution levels, including monitoring by the appropriate government institutions, in order to prevent tax avoidance, VAT fraud, smuggling, bootlegging, diversion of original goods from the distribution system and infiltration into the distribution system of counterfeited and original goods without payment of customs, tax and excise duties."
US-7749400-B2,Method for etching photolithographic substrates,"The present invention provides a method for processing a photolithographic substrate within a vacuum chamber. The method comprising the steps of cooling the photolithographic substrate to a target temperature before the photolithographic substrate is processed within the vacuum chamber. At least one processing gas is introduced into the vacuum chamber. After the photolithographic substrate is at the target temperature, a plasma is ignited from the processing gas wherein the photolithographic substrate is processed using the plasma. Upon completion of the processing, the photolithographic substrate is unloaded from the vacuum chamber."
US-7757711-B2,Flow controller,"The flow controller is capable of optionally controlling flow volume of controlled flow and reducing weight and a production cost. The flow controller comprises: a main body having a first flow path and a second flow path; a ring packing for sealing the flow paths; a rod-shaped flow control member tightly pierced through the ring packing and capable of moving with respect to the ring packing, the flow control member having a third flow path; operation means for moving the flow control member so as to control the flow volume; a fourth flow path provided outside of the ring packing; and a check valve prohibiting a fluid to flow from the second flow path to the first flow path via the fourth flow path and allowing the fluid to flow from the first flow path to the second flow path via the fourth flow path."
US-7758692-B2,Pigment suspension having improved color strength,The invention relates in particular to an aqueous pigment suspension comprising at least one polymer of the type polycarboxylate grafted by alkylene polyoxide chains. It relates in addition to the use thereof especially in the coloring of hydraulic set materials.
US-4210175-A,Chemical injection assembly,"A fluid injection assembly of a type designed to inject fluid into a flowing stream of liquid at a predetermined, adjustable rate without the assistance of an outside power source other than the line pressure of the flowing stream itself. The assembly includes a casing having the fluid to be injected disposed therein and at least partially contained by a flexible membrane. Liquid from the flowing stream is partially disposed in fluid communication with the interior of the casing so as to flow in surrounding relation to a portion of the flexible membrane whereby pressure exerted thereon will aid in dispensing of the injection fluid therefrom. An open end of the dispensing line for the injection fluid is disposed within the flowing stream so as to create a negative pressure further aiding in removal of the fluid from within the casing. A liquid flow rate meter is provided so as to give a constant, visual indication of the rate of flow of the liquid into which it is desired to inject a fluid. A similarly constructed fluid injection meter is provided so as to permit visual observation of the rate of fluid injection. A dispensing valve is provided to allow regulation of the rate of injection of fluid into the flowing stream of liquid."
US-4212439-A,Magnetic tape recording and/or reproducing apparatus,"Magnetic tape recording and/or reproducing apparatus includes a device for providing a predetermined increase in the length of a loop of tape which extends between the point of contact between a capstan and a pinch roller and the opposite side of the pinch roller. The tape amount increasing device broadly comprises a linkage having first and second positions and to which first and second rollers are mounted at opposite ends thereof. The linkage is further pivoted at one end whereby a loop of tape passes around the first roller mounted at the pivoted end of the linkage in the first position of the linkage, and around the second roller when the linkage is in its second position."
US-6658684-B2,"Cable with parallel wires for building work structure, anchoring for said cable and anchoring method",A reinforcement for a building works structure comprising an assembly of solid wires. The wires are mutually parallel to form a bundle and the reinforcement comprises a sheath made of plastic material enclosing the bundle and providing it with cohesion.
US-6666026-B2,Process for preheating suction air by waste heat in power engines,"The present invention proposes a process and a device which permit to improve the efficiency of energetic gas turbines operating in user regions with outside temperatures from −5° C. to +5° C. Unlike in the state of the art, no heat is withdrawn in this connection from the gas compressor ( 3 ) when the heat requirement rises in the overall intake system, but successively by using first the off-air heated by the generator ( 2 ) for heating the intake air in the intake duct ( 12, 12 ′) and subsequently withdrawing additional heat in the form of the heat of an off-heat system ( 8 ) generated at the end of the heat circulation. When additional heat is required, heat can be withdrawn from the compressor ( 3 ) via a bypass conduit ( 20 )."
US-4562348-A,Fiber optical luminescence measuring system for measuring physical quantities with time- or frequency-divided signal information,"A fiber optical luminescence measuring system for measuring a change in a physical quantity employs a transmitter/receiver unit and a sensor unit for the physical quantity optically linked by at least one optical fiber. The sensor unit is arranged to emit luminescent light with at least two different decay time constants, where the quotient between the intensities of emitted luminescent light having the different decay times corresponds to a measure of the quantity to be measured."
US-2007152078-A1,Method and system for dispensing a dry haze nasal treatment from a liquid,"Methods and apparatus for dispensing the chemical solutions, such as a low viscosity liquid chemical solution for inhaling size, are disclosed. A small particle haze, including a liquid chemical, such as low viscosity liquids that are inhaled when in haze form, is created in an enclosed container. The small particle haze is created by one or more venturi nozzles. The small particle haze is filtered to remove particles in excess of a predetermined size. The remaining particles are combined with a stream of air that separates the particles into a dry haze. The stream of air also directs the combination into a dispensing tube that includes a plurality of outlets for dispensing the dry haze. Relatively small diameter sized dispensing tubes are formed of a relatively rigid material such as polyvinyl chloride (PVC). Larger sized dispensing tubes are inflatable. The air added to inflate inflatable tubes further separates the dry haze particles. Filtering prevents dirt and debris from polluting the dry haze that is created through the mixture of clean dry air with the small particles."
US-2007156010-A1,Single port cardiac support apparatus related applications,"A minimal intrusive cardiac support apparatus is disclosed which requires only one incision into a main blood vessel or heart chamber. The apparatus includes a pair of generally coaxial and slideably arranged cannulae (one inner and one outer) communicatively coupled to a blood pump for providing right-heart and/or left-heart cardiac support during cardiac surgery. Optional balloons may be mounted on the outside of the inner and outer conduits which can be selectively inflated to seal off the sides surrounding vessel or to deliver cooling fluid or medication to the surrounding tissue. Using the apparatus, a method of pumping blood through the body is also disclosed."
US-7243195-B2,Software managed cache optimization system and method for multi-processing systems,"The present invention provides for a method for computer program code optimization for a software managed cache in either a uni-processor or a multi-processor system. A single source file comprising a plurality of array references is received. The plurality of array references is analyzed to identify predictable accesses. The plurality of array references is analyzed to identify secondary predictable accesses. One or more of the plurality of array references is aggregated based on identified predictable accesses and identified secondary predictable accesses to generate aggregated references. The single source file is restructured based on the aggregated references to generate restructured code. Prefetch code is inserted in the restructured code based on the aggregated references. Software cache update code is inserted in the restructured code based on the aggregated references. Explicit cache lookup code is inserted for the remaining unpredictable accesses. Calls to a miss handler for misses in the explicit cache lookup code are inserted. A miss handler is included in the generated code for the program. In the miss handler, a line to evict is chosen based on recent usage and predictability. In the miss handler, appropriate DMA commands are issued for the evicted line and the missing line."
US-4436835-A,Process for preparation of catalysts,"Disclosed is a process for the preparation of a catalyst for the synthesis of methyl formate by dehydrogenating methanol in the gaseous phase, said process being characterized in that (A) at least one phosphate selected from the group consisting of copper phosphates, zinc phosphates and aluminum phosphates, and (B) at least one chloride selected from the group consisting of copper chlorides, zinc chloride, aluminum chloride, alkali metal chlorides and alkaline earth metal chlorides and/or (C) at least one compound selected from the group consisting of alkali metal compounds (exclusive of halides) and alkaline earth metal compounds (exclusive of halides) are added to copper oxide, zinc oxide and aluminum oxide. 
     The catalyst obtained according to this process has a high activity for preparing methyl formate by dehydrogenating methanol in the gaseous phase, and this catalyst is excellent in the heat resistance and durability and has a high mechanical strength., Disclosed is a process for the preparation of a catalyst for the synthesis of methyl formate by dehydrogenating methanol in the gaseous phase, said process being characterized in that (A) at least one phosphate selected from the group consisting of copper phosphates, zinc phosphates and aluminum phosphates, and (B) at least one chloride selected from the group consisting of copper chlorides, zinc chloride, aluminum chloride, alkali metal chlorides and alkaline earth metal chlorides and/or (C) at least one compound selected from the group consisting of alkali metal compounds (exclusive of halides) and alkaline earth metal compounds (exclusive of halides) are added to copper oxide, zinc oxide and aluminum oxide. The catalyst obtained according to this process has a high activity for preparing methyl formate by dehydrogenating methanol in the gaseous phase, and this catalyst is excellent in the heat resistance and durability and has a high mechanical strength."
